Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,1660767,790,2102.2,1920.0,1696,4192,529.5,"void vllm::rms_norm_kernel<c10::BFloat16, (int)8, (int)3, (bool)1>(T1 *, const T1 *, long, long, long, long, long, const T1 *, long, float, int, int)"
0.0,1575648,858,1836.4,1376.0,1312,10048,1091.0,"void vllm::topKPerRowDecode<(int)512, (bool)1, (bool)1, (bool)0>(const float *, const int *, int *, int, int, int, int, int, float *, int, const int *)"
0.0,1571135,869,1808.0,1696.0,1664,5728,334.6,_convert_req_index_to_global_index_kernel
0.0,1531296,1580,969.2,960.0,896,1440,66.3,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, at::native::BitwiseAndFunctor<long>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,1430975,861,1662.0,1344.0,1248,9824,669.9,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,1397632,1256,1112.8,1024.0,960,5376,321.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,1350206,869,1553.7,1504.0,1440,3872,130.5,_fused_q_kv_rmsnorm_kernel
0.0,1349472,1185,1138.8,1120.0,1024,8448,227.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,1312544,1,1312544.0,1312544.0,1312544,1312544,0.0,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.0,1302912,12,108576.0,110096.0,91040,130592,13161.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_tn_align2>(T1::Params)
0.0,1275584,42,30371.0,26272.0,11936,93088,13925.9,"void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<(unsigned int)0, (unsigned int)4096, (unsigned int)512, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)64, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)3, (unsigned int)128, (unsigned int)256, (unsigned int)48, (deep_gemm::GemmType)0, (bool)0, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (unsigned int)64, (unsigned int)1>(T19 *, const T19 *, __nv_fp8_e4m3 *, __nv_fp8_e4m3 *, int *, CUtensorMap_st *, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.0,1274912,338,3771.9,4080.0,1024,7520,1789.4,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,1269823,869,1461.2,1312.0,1248,88544,2964.4,triton_red_fused__to_copy_native_layer_norm_0
0.0,1260032,84,15000.4,15584.0,7680,28224,3675.1,nvjet_sm121_tst_mma_64x32x64_8_32x16x64_tmaAB_splitK_TNNN
0.0,1240255,869,1427.2,1280.0,1216,7392,460.5,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,1211456,1602,756.2,640.0,608,3104,431.5,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,1190464,1614,737.6,640.0,576,5024,192.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,1019744,157,6495.2,6496.0,2816,10272,1335.5,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.0,1002656,79,12691.8,12736.0,4672,13824,938.5,_prepare_dflash_inputs_kernel
0.0,1000960,42,23832.4,22960.0,21472,38272,3464.1,"void deep_gemm::sm120_fp8_fp4_gemm_1d1d_impl<(unsigned int)0, (unsigned int)1024, (unsigned int)4096, (unsigned int)128, (unsigned int)128, (unsigned int)1, (unsigned int)64, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)3, (unsigned int)128, (unsigned int)256, (unsigned int)48, (deep_gemm::GemmType)0, (bool)0, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (unsigned int)64, (unsigned int)4>(T19 *, const T19 *, __nv_fp8_e4m3 *, __nv_fp8_e4m3 *, int *, CUtensorMap_st *, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.0,976672,474,2060.5,1920.0,1248,4448,550.4,"void vllm::rotary_embedding_kernel<c10::BFloat16, c10::BFloat16, (bool)1>(const long *, T1 *, T1 *, const T2 *, int, long, long, long, int, int, int, long, bool)"
0.0,825568,1,825568.0,825568.0,825568,825568,0.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_64x3_tn_align8>(T1::Params)
0.0,820768,858,956.6,896.0,832,4000,158.7,_expand_pools_and_append_tail_kernel
